Blattner,Log2(pdxJ/WT 20nM)
b2933,0.849772087
b2934,0.62073172
b2935,-1.38484522
b2937,-1.012577381
b2942,0.352372506
b2943,0.583835146
b2947,-0.513129245
b2964,-2.246849981
b2965,-1.209299755
b2975,0.895094218
b2979,-1.229691315
b2988,-0.820574979
b3063,0.15684577
b3070,-0.950966029
b3073,0.873751159
b3089,-0.798790812
b3116,-0.04511076
b3117,-1.962685769
b3161,-0.365703132
b3172,-2.832979479
b3189,-0.815499065
b3212,-0.320749465
b3213,-0.641907611
b3240,1.641235883
b3241,0.74811417
b3248,0.615591665
b3258,0.037114756
b3359,-2.185891055
b3360,0.372267043
b3385,-0.446198656
b3399,-0.550587489
b3403,-1.696619129
b3415,0.1916168
b3416,0.516254265
b3417,0.251695114
b3428,-0.504043133
b3430,-0.347713728
b3437,0.26210888
b3449,-0.339438515
b3450,-0.015761418
b3451,0.156733067
b3452,0.115331657
b3453,-0.546300788
b3454,-1.538997326
b3455,-1.468030896
b3456,-1.621301178
b3457,-1.61655849
b3458,-2.054569038
b3460,0.336211186
b3517,0.887974676
b3519,0.289685784
b3528,-2.850583792
b3540,-0.628221835
b3541,-0.201263684
b3542,0.129196523
b3543,0.535777311
b3544,-0.694264165
b3551,-0.574712379
b3553,-0.01737333
b3565,-0.199776805
b3566,-0.861217443
b3567,0.640013505
b3568,0.290199923
b3572,0.073632585
b3589,0.738137049
b3599,-1.492993218
b3600,-0.591444226
b3603,-0.842769527
b3607,-0.289775169
b3612,-1.631393155
b3616,-0.472667077
b3617,-0.744809275
b3642,-0.651160502
b3653,-0.541310151
b3654,-2.316371851
b3656,0.237803694
b3662,-0.170452998
b3666,0.746622737
b3670,-0.308960921
b3671,-0.150859366
b3693,-0.150831246
b3697,-0.256241432
b3708,-1.628937525
b3709,0.159165418
b3715,0.273859928
b3721,0.240451515
b3722,0.606607981
b3729,-1.25676454
b3730,-1.033832458
b3744,-2.203935942
b3748,-1.227949305
b3749,-1.093653194
b3750,-1.287575858
b3751,-1.357069558
b3752,-1.118779989
b3770,1.324168233
b3772,1.343884594
b3774,0.498180432
b3781,-0.097042991
b3784,-0.444902801
b3786,-0.478890423
b3789,-0.79219126
b3791,-0.97854949
b3809,-0.028316369
b3821,-0.301569817
b3823,0.379734387
b3824,0.030195328
b3826,0.012747399
b3829,-0.487999896
b3831,-0.879597047
b3850,-0.435978509
b3867,-0.177651349
b3870,-1.764299935
b3885,-0.287244746
b3916,-0.876005695
b3925,-1.04562941
b3927,-2.608413803
b3939,0.206331026
b3940,-0.368517573
