id,flux
R_ALCD19y@iMM904,0.0
R_ALCD22xi@iMM904,0.0
R_ALCD22xim@iMM904,0.0
R_ALCD22yi@iMM904,0.0
R_ALCD23xi@iMM904,0.0
R_ALCD23xim@iMM904,0.0
R_ALCD23yi@iMM904,0.0
R_ALCD24xi@iMM904,0.0
R_ALCD24xim@iMM904,0.0
R_ALCD24yi@iMM904,0.0
R_ALCD25xi@iMM904,0.0
R_ALCD25xim@iMM904,0.0
R_ALCD25yi@iMM904,0.0
R_ALCD26xi@iMM904,0.0
R_ALCD26xim@iMM904,0.0
R_ALCD2x_copy1@iMM904,0.0
R_ALCD2ir@iMM904,7.388107048968547
R_ALCD2irm@iMM904,0.0
R_ALCD2x_copy2@iMM904,0.0
R_ALDD19xr@iMM904,0.0
R_ALDD20xm@iMM904,0.0
R_ALDD20y@iMM904,0.0
R_ALDD20ym@iMM904,0.0
R_ALDD22x@iMM904,0.0
R_ALDD2xm@iMM904,0.0
R_ALDD2y@iMM904,0.0722080066233246
R_ALDD2ym@iMM904,0.0
R_ALLTAHr@iMM904,0.0
R_ALLTN@iMM904,0.0
R_ALLTNti@iMM904,0.0
R_ALLTTti@iMM904,0.0
R_ALPHNH@iMM904,0.0
R_AMAOTr@iMM904,0.0
R_AMETt2@iMM904,0.0
R_AMETtm@iMM904,0.0
R_AMID@iMM904,0.0
R_AMID2@iMM904,0.0
R_AMID3@iMM904,0.0
R_AMPDA@iMM904,0.0
R_AMPN@iMM904,0.0
R_AMPtn@iMM904,0.0
R_ANPRT@iMM904,0.004520959850313975
R_ANS@iMM904,0.004520959850313975
R_AOBUTDs@iMM904,0.0
R_AP4AH@iMM904,0.0
R_APRTO2@iMM904,0.0
R_ARAB14LO@iMM904,0.0
R_ARAB1D2@iMM904,0.0
R_ARABR@iMM904,0.0
R_ARAB_Dt@iMM904,0.0
R_ARAB_Lt@iMM904,0.0
R_ARGN@iMM904,0.0
R_ARGSL@iMM904,0.025581628448783655
R_ARGSS@iMM904,0.025581628448783655
R_ARGTRS@iMM904,0.0
R_ARGTRSm@iMM904,0.0
R_ARGt2m@iMM904,0.0
R_ARGt2r@iMM904,0.0
R_ARGt6@iMM904,0.0
R_ARMT@iMM904,0.0
R_ASAD@iMM904,-0.06921525855339848
R_ASNN@iMM904,0.0
R_ASNNe@iMM904,0.0
R_ASNS1@iMM904,0.016189493548483497
R_ASNTRS@iMM904,0.0
R_ASNTRSm@iMM904,0.0
